videoPlayCount,url,hashtags,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp
77877.0,https://www.instagram.com/p/DHso_JIAXu8/,nextwomens,20272.0,60.069,10,kierah.hamilton,@kierah.hamilton is the epitome of spring (inside and out)  #nextwomens,2025-03-27T09:24:22.000Z
,https://www.instagram.com/p/DHVYU3Fsjf0/,,,,7,,Taking spring by storm...which look from Rochelle's series is your fav? ✨,2025-03-18T09:00:52.000Z
,https://www.instagram.com/p/DHgiVfMu_QM/,nextwomens,,,7,,"The dress we'll be living in, all summer long  #nextwomens",2025-03-22T17:00:48.000Z
166206.0,https://www.instagram.com/p/DHdLbccgDdE/,nextwomens,54022.0,8.066,46,laura.adlington,@laura.adlington bringing the sunshine in 5 must-have spring dresses ✨ #nextwomens,2025-03-21T09:18:21.000Z
,https://www.instagram.com/p/DHp3xKvOD9p/,nextwomens,,,8,,Keepin' it crochet for the forseeable ✨ #nextwomens,2025-03-26T08:00:36.000Z
,https://www.instagram.com/p/DHQOro1Nqgs/,nextwomens,,,5,,It's all about the silhouette in this cinched denim shirt...the perfect addition to your capsule wardrobe  #nextwomens,2025-03-16T09:00:38.000Z
83813.0,https://www.instagram.com/p/DHYCw04s-0G/,,23814.0,56.107,8,rochellehumes,@rochellehumes takes on our quickfire questions...,2025-03-19T09:21:10.000Z
,https://www.instagram.com/p/DHa2fE0t6YQ/,nextwomens,,,5,,A stylish take on your everyday tee...which graphic is your fav? ️ #nextwomens,2025-03-20T12:00:35.000Z
,https://www.instagram.com/p/DHiJZe5RW3v/,,,,9,,Swapped pyjama chic into a daytime vibe. Comfort never looked so good ✨,2025-03-23T08:00:43.000Z
,https://www.instagram.com/p/DHnS9artzPQ/,nextkids,,,16,,Giant strawberries and stripes should be a staple for every wardrobe   #nextkids,2025-03-25T08:00:22.000Z
73239.0,https://www.instagram.com/p/DHTu8e-NJwI/,,16850.0,15.045,15,,She’s back and better than ever with your go-to fits for the ultimate spring wardrobe ✨,2025-03-17T17:10:36.000Z
,https://www.instagram.com/p/DHNjDL3NwcP/,nextwomens,,,4,,Embroidered jeans are our favourite way to elevate denim this spring✨  #nextwomens,2025-03-15T08:00:42.000Z
,https://www.instagram.com/p/DHIk5iTNHP2/,nextwomens,,,6,irenesteelestyle,"Dressed up or dressed down, a co-ord is our go-to for an effortlessly chic look ✨ @irenesteelestyle  #nextwomens",2025-03-13T09:15:35.000Z
,https://www.instagram.com/p/DGzzGJjOXAT/,nextwomens,,,8,,Our favourite comeback yet...get ready to spot polka dot everywhere this spring ✨ #nextwomens,2025-03-05T08:00:39.000Z
152077.0,https://www.instagram.com/p/DG5HqR1AaUx/,nextwomens,54518.0,26.98,41,jasminxomar,Swooning over @jasminxomar and her Eid outfit rotation  #nextwomens,2025-03-07T09:09:10.000Z
,https://www.instagram.com/p/DHF8o9UANip/,nextwomens,,,6,,All-new for 2025...introducing our woven mary jane shoes  #nextwomens,2025-03-12T08:40:32.000Z
,https://www.instagram.com/p/DG-GT21N7LX/,,,,2,,Doused in yellow for the perfect sunshine look ✨,2025-03-09T08:01:07.000Z
,https://www.instagram.com/p/DHK-SK-uh8F/,nextwomens,,,6,,Nothing beats the feeling of finding denim you can depend on  #nextwomens,2025-03-14T08:00:54.000Z
,https://www.instagram.com/p/DG2X2bUMTsB/,nextkids,,,62,,The perfect set does in fact exist... #nextkids,2025-03-06T08:00:16.000Z
,https://www.instagram.com/p/DHArExIOxVM/,nextwomens,,,11,,Our yellow linen suit sure does know how to command attention this spring  #nextwomens,2025-03-10T08:00:48.000Z
,https://www.instagram.com/p/DG7oZbzNRgo/,nextwomens,,,5,,Strictly sunny vibes only: yellow is set to takeover this spring  #nextwomens,2025-03-08T09:01:06.000Z
109738.0,https://www.instagram.com/p/DHDcUmZtGR8/,nextwomens,36699.0,10.75,6,pollyvsayer’s,@pollyvsayer’s masterclass in the power of wearing vs styling  #nextwomens,2025-03-11T09:20:48.000Z
,https://www.instagram.com/p/DGxOVnFRRKr/,nextwomens,,,7,,A series of transitional jackets to have on your radar this spring ️✨ #nextwomens,2025-03-04T08:00:08.000Z
,https://www.instagram.com/p/DGkhQKIt26h/,nextwomens,,,10,,"✨ Print of the week ✨
Cow print is quickly becoming the easiest way to dress up any outfit...making a bold statement anywehere from jackets to shoes  #nextwomens",2025-02-27T09:07:03.000Z
,https://www.instagram.com/p/DGhxhynu4ou/,nextwomens,,,11,,Swipe to see how we've styled up this dreamy stripe co-ord from day to night  #nextwomens,2025-02-26T08:00:36.000Z
,https://www.instagram.com/p/DGsV-Fss7UE/,nexthome,,,6,,The cosiest spot to unwind after a long week  If you need us.... we’ll be here #nexthome,2025-03-02T10:01:37.000Z
118261.0,https://www.instagram.com/p/DGu4s9-A-4F/,,37019.0,28.768,3,debbielegrainger,When you and your mini me understood the assignment  We’re so ready for the spring fits...@debbielegrainger,2025-03-03T09:44:14.000Z
132308.0,https://www.instagram.com/p/DGpzA6RAUkT/,nextkids,38007.0,16.033,10,aliyahxeleia,Spring into style with our dream team @aliyahxeleia  #nextkids,2025-03-01T10:18:35.000Z
229556.0,https://www.instagram.com/p/DGaxKlUtuUc/,nextwomens,91724.0,50.066,22,thestylingthree,1 statement co-ord styled on 3 beautiful bodies @thestylingthree  #nextwomens,2025-02-23T14:17:20.000Z
271558.0,https://www.instagram.com/p/DGnJmIzgX5u/,nextwomens,94553.0,10.819,75,missy_elz,Love cow print but unsure how to style it? Here are 6 looks to get you started  @missy_elz  #nextwomens,2025-02-28T09:39:39.000Z
,https://www.instagram.com/p/DGczBQgA10F/,,,,11,,From fringed jackets to luxe handbags...everyone’s talking about suede! Swipe to see our top picks,2025-02-24T09:07:37.000Z
,https://www.instagram.com/p/DGfTjltu-sT/,nextwomens,,,9,,Back like it never left...all-new crochet for the ultimate boho vibes ✨ #nextwomens,2025-02-25T09:00:16.000Z
,https://www.instagram.com/p/DGSbrfXtN4S/,nextwomens,,,14,missy_elz,"Who said loungewear was just for wearing at home?☕
@missy_elz  #nextwomens",2025-02-20T09:00:49.000Z
88951.0,https://www.instagram.com/p/DGV751_AYlf/,,21322.0,19.033,11,mollieee.c,Our favourite kind of outfits? The ones that look just as good out the house as they do in  @mollieee.c,2025-02-21T17:11:17.000Z
180838.0,https://www.instagram.com/p/DGQ2DVsst2W/,,54167.0,22.0,7,nextofficial,"AD From reformer & refuel to Sunday lounging & self-care, Sapna is living in the @nextofficial SELF collection – premium quality without the premium price tag…",2025-02-19T17:43:48.000Z
,https://www.instagram.com/p/DGI4WayMUpN/,nexthome,,,4,,"Mirror mirror on the wall, who is the most fabulous mirror of them all?  ...well obviously this one from N. Premium  #nexthome",2025-02-16T15:29:23.000Z
